Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
1650,9,0.00999,0.6,2991.0,220.0,0.751,839.0,39.61,2002.0,"Becker 1963 AE 114, 1965 AE-177"
1651,9,0.00999,0.6,2305.0,225.0,0.737,776.0,39.16,2009.0,"Becker 1963 AE 114, 1965 AE-177"
1652,9,0.00999,0.6,2599.0,221.0,0.75,812.0,37.54,2009.0,"Becker 1963 AE 114, 1965 AE-177"
1653,9,0.00999,0.6,2040.0,228.0,0.725,749.0,38.75,2006.0,"Becker 1963 AE 114, 1965 AE-177"
1654,9,0.00999,0.6,1775.0,228.0,0.726,717.0,38.86,1998.0,"Becker 1963 AE 114, 1965 AE-177"
1655,9,0.00999,0.6,1775.0,235.0,0.693,717.0,38.86,1998.0,"Becker 1963 AE 114, 1965 AE-177"
1656,9,0.00999,0.6,1549.0,237.0,0.695,679.0,40.85,1998.0,"Becker 1963 AE 114, 1965 AE-177"
1657,9,0.00999,0.6,1344.0,239.0,0.696,653.0,39.94,2010.0,"Becker 1963 AE 114, 1965 AE-177"
1658,9,0.00999,0.6,1294.0,245.0,0.674,643.0,40.47,2010.0,"Becker 1963 AE 114, 1965 AE-177"
1659,9,0.00999,0.6,1265.0,252.0,0.638,637.0,40.81,1989.0,"Becker 1963 AE 114, 1965 AE-177"
1660,9,0.00999,0.6,1138.0,254.0,0.633,619.0,40.05,1987.0,"Becker 1963 AE 114, 1965 AE-177"
1661,9,0.00999,0.6,1030.0,258.0,0.624,593.0,41.62,1982.0,"Becker 1963 AE 114, 1965 AE-177"
1662,9,0.00999,0.6,941.0,251.0,0.652,575.0,41.81,1979.0,"Becker 1963 AE 114, 1965 AE-177"
1663,9,0.00999,0.6,2893.0,220.0,0.787,817.0,42.83,2048.0,"Becker 1963 AE 114, 1965 AE-177"
1664,9,0.00999,0.6,2697.0,226.0,0.744,809.0,40.48,2035.0,"Becker 1963 AE 114, 1965 AE-177"
1665,9,0.00999,0.6,2550.0,228.0,0.731,798.0,39.77,2030.0,"Becker 1963 AE 114, 1965 AE-177"
1666,9,0.00999,0.6,2648.0,224.0,0.755,800.0,41.53,2031.0,"Becker 1963 AE 114, 1965 AE-177"
1667,9,0.00999,0.6,1893.0,231.0,0.728,721.0,41.36,2023.0,"Becker 1963 AE 114, 1965 AE-177"
1668,9,0.00999,0.6,1795.0,232.0,0.719,711.0,40.89,2013.0,"Becker 1963 AE 114, 1965 AE-177"
1669,9,0.00999,0.6,1677.0,232.0,0.722,697.0,40.65,2013.0,"Becker 1963 AE 114, 1965 AE-177"
1670,9,0.00999,0.6,1461.0,233.0,0.721,669.0,40.27,2013.0,"Becker 1963 AE 114, 1965 AE-177"
1671,9,0.00999,0.6,1294.0,235.0,0.714,645.0,39.99,2007.0,"Becker 1963 AE 114, 1965 AE-177"
1672,9,0.00999,0.6,1196.0,237.0,0.712,621.0,41.93,2007.0,"Becker 1963 AE 114, 1965 AE-177"
1673,9,0.00999,0.6,1138.0,242.0,0.684,613.0,41.48,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1674,9,0.00999,0.6,1059.0,248.0,0.662,602.0,40.75,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1675,9,0.00999,0.6,932.0,257.0,0.635,576.0,41.14,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1676,9,0.00999,0.6,736.0,256.0,0.65,532.0,41.36,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1677,9,0.00999,0.6,637.0,292.0,0.548,500.0,42.99,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1678,9,0.00999,0.6,588.0,285.0,0.569,490.0,42.13,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1679,9,0.00999,0.6,520.0,332.0,0.462,469.0,42.28,1991.0,"Becker 1963 AE 114, 1965 AE-177"
1680,9,0.00999,0.6,2981.0,411.0,0.695,777.0,54.26,3462.0,"Becker 1963 AE 114, 1965 AE-177"
1681,9,0.00999,0.6,2834.0,411.0,0.695,764.0,54.26,3456.0,"Becker 1963 AE 114, 1965 AE-177"
1682,9,0.00999,0.6,2952.0,411.0,0.69,774.0,54.37,3445.0,"Becker 1963 AE 114, 1965 AE-177"
1683,9,0.00999,0.6,2834.0,411.0,0.688,764.0,54.26,3435.0,"Becker 1963 AE 114, 1965 AE-177"
1684,9,0.00999,0.6,2658.0,418.0,0.679,740.0,56.13,3441.0,"Becker 1963 AE 114, 1965 AE-177"
1685,9,0.00999,0.6,2540.0,416.0,0.684,736.0,54.39,3448.0,"Becker 1963 AE 114, 1965 AE-177"
1686,9,0.00999,0.6,2589.0,423.0,0.665,733.0,56.24,3435.0,"Becker 1963 AE 114, 1965 AE-177"
1687,9,0.00999,0.6,2462.0,428.0,0.658,721.0,56.15,3444.0,"Becker 1963 AE 114, 1965 AE-177"
1688,9,0.00999,0.6,2050.0,428.0,0.667,677.0,56.26,3444.0,"Becker 1963 AE 114, 1965 AE-177"
1689,9,0.00999,0.6,2687.0,424.0,0.667,764.0,51.03,3491.0,"Becker 1963 AE 114, 1965 AE-177"
1690,9,0.00999,0.6,2560.0,411.0,0.7,751.0,51.26,3481.0,"Becker 1963 AE 114, 1965 AE-177"
1691,9,0.00999,0.6,2540.0,415.0,0.692,744.0,52.47,3478.0,"Becker 1963 AE 114, 1965 AE-177"
1692,9,0.00999,0.6,2148.0,423.0,0.674,694.0,54.79,3444.0,"Becker 1963 AE 114, 1965 AE-177"
1693,9,0.00999,0.6,1883.0,428.0,0.671,665.0,54.48,3456.0,"Becker 1963 AE 114, 1965 AE-177"
1694,9,0.00999,0.6,1608.0,443.0,0.643,627.0,55.22,3445.0,"Becker 1963 AE 114, 1965 AE-177"
