Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
24955,57,0.006,0.3,108.0,99.0,0.671,331.0,22.78,912.0,Kim et al 2000
24956,57,0.006,0.3,109.0,150.0,0.622,331.0,23.04,1295.0,Kim et al 2000
24957,57,0.006,0.3,110.0,199.0,0.567,329.0,23.78,1598.0,Kim et al 2000
24958,57,0.006,0.3,305.0,100.0,0.673,469.0,22.54,958.0,Kim et al 2000
24959,57,0.006,0.3,308.0,149.0,0.606,469.0,22.89,1325.0,Kim et al 2000
24960,57,0.006,0.5,109.0,101.0,0.784,79.0,83.26,559.0,Kim et al 2000
24961,57,0.006,0.5,109.0,100.0,0.686,297.0,31.18,553.0,Kim et al 2000
24962,57,0.006,0.5,110.0,100.0,0.684,337.0,21.87,564.0,Kim et al 2000
24963,57,0.006,0.5,110.0,150.0,0.71,71.0,85.42,751.0,Kim et al 2000
24964,57,0.006,0.5,109.0,149.0,0.653,297.0,31.18,790.0,Kim et al 2000
24965,57,0.006,0.5,111.0,149.0,0.664,340.0,21.41,821.0,Kim et al 2000
24966,57,0.006,0.5,111.0,200.0,0.59,298.0,31.46,976.0,Kim et al 2000
24967,57,0.006,0.5,111.0,250.0,0.553,298.0,31.46,1154.0,Kim et al 2000
24968,57,0.006,0.5,193.0,100.0,0.715,379.0,28.81,587.0,Kim et al 2000
24969,57,0.006,0.5,196.0,150.0,0.662,380.0,29.06,827.0,Kim et al 2000
24970,57,0.006,0.5,199.0,201.0,0.606,381.0,29.31,1032.0,Kim et al 2000
24971,57,0.006,0.5,201.0,250.0,0.556,380.0,29.87,1203.0,Kim et al 2000
24972,57,0.006,0.5,306.0,101.0,0.822,83.0,114.68,565.0,Kim et al 2000
24973,57,0.006,0.5,304.0,101.0,0.706,381.0,43.48,577.0,Kim et al 2000
24974,57,0.006,0.5,306.0,101.0,0.682,437.0,30.31,577.0,Kim et al 2000
24975,57,0.006,0.5,305.0,150.0,0.774,70.0,117.63,786.0,Kim et al 2000
24976,57,0.006,0.5,308.0,148.0,0.672,436.0,30.78,840.0,Kim et al 2000
24977,57,0.006,0.5,303.0,200.0,0.61,431.0,31.41,1047.0,Kim et al 2000
24978,57,0.006,0.5,309.0,249.0,0.558,431.0,32.09,1222.0,Kim et al 2000
24979,57,0.006,0.5,400.0,101.0,0.673,488.0,27.74,583.0,Kim et al 2000
24980,57,0.006,0.5,407.0,151.0,0.688,490.0,27.91,885.0,Kim et al 2000
24981,57,0.006,0.5,411.0,199.0,0.653,489.0,28.51,1124.0,Kim et al 2000
24982,57,0.006,0.5,403.0,249.0,0.59,484.0,28.97,1301.0,Kim et al 2000
24983,57,0.006,0.5,512.0,100.0,0.867,87.0,132.44,573.0,Kim et al 2000
24984,57,0.006,0.5,519.0,100.0,0.694,464.0,43.4,579.0,Kim et al 2000
24985,57,0.006,0.5,502.0,101.0,0.676,519.0,28.93,589.0,Kim et al 2000
24986,57,0.006,0.5,517.0,151.0,0.86,69.0,137.03,852.0,Kim et al 2000
24987,57,0.006,0.5,503.0,150.0,0.687,518.0,29.25,887.0,Kim et al 2000
24988,57,0.006,0.5,504.0,201.0,0.634,517.0,29.57,1118.0,Kim et al 2000
24989,57,0.006,0.5,512.0,251.0,0.585,517.0,30.18,1318.0,Kim et al 2000
24990,57,0.006,0.5,602.0,100.0,0.705,546.0,29.68,605.0,Kim et al 2000
24991,57,0.006,0.5,614.0,150.0,0.748,546.0,30.48,947.0,Kim et al 2000
24992,57,0.006,0.5,596.0,200.0,0.704,540.0,30.71,1205.0,Kim et al 2000
24993,57,0.006,0.5,605.0,251.0,0.656,540.0,31.32,1433.0,Kim et al 2000
24994,57,0.006,0.5,702.0,99.0,0.696,579.0,28.12,597.0,Kim et al 2000
24995,57,0.006,0.5,694.0,149.0,0.846,71.0,148.18,815.0,Kim et al 2000
24996,57,0.006,0.5,713.0,150.0,0.741,580.0,28.53,951.0,Kim et al 2000
24997,57,0.006,0.5,696.0,197.0,0.737,572.0,29.43,1240.0,Kim et al 2000
24998,57,0.006,0.5,735.0,100.0,0.999,91.0,145.88,642.0,Kim et al 2000
24999,57,0.006,0.5,806.0,102.0,0.688,604.0,28.03,617.0,Kim et al 2000
25000,57,0.006,0.5,812.0,149.0,0.752,603.0,28.59,959.0,Kim et al 2000
25001,57,0.006,0.5,801.0,201.0,0.689,598.0,29.19,1214.0,Kim et al 2000
25002,57,0.006,0.5,816.0,250.0,0.673,597.0,30.24,1481.0,Kim et al 2000
25003,57,0.006,0.5,903.0,101.0,0.709,634.0,25.84,630.0,Kim et al 2000
25004,57,0.006,0.5,905.0,152.0,0.799,84.0,156.29,779.0,Kim et al 2000
25005,57,0.006,0.5,902.0,150.0,0.774,633.0,26.03,994.0,Kim et al 2000
25006,57,0.006,0.5,919.0,200.0,0.745,633.0,26.87,1288.0,Kim et al 2000
25007,57,0.006,0.5,906.0,249.0,0.697,627.0,27.67,1526.0,Kim et al 2000
25008,57,0.006,0.5,946.0,100.0,0.97,99.0,154.75,617.0,Kim et al 2000
25009,57,0.006,0.75,106.0,99.0,0.752,314.0,26.31,398.0,Kim et al 2000
25010,57,0.006,0.75,107.0,150.0,0.714,314.0,26.58,577.0,Kim et al 2000
25011,57,0.006,0.8,112.0,199.0,0.606,67.0,86.89,533.0,Kim et al 2000
25012,57,0.006,0.8,113.0,199.0,0.67,320.0,26.71,682.0,Kim et al 2000
25013,57,0.006,0.8,205.0,100.0,0.713,344.0,39.12,360.0,Kim et al 2000
25014,57,0.006,0.8,205.0,149.0,0.711,348.0,38.16,533.0,Kim et al 2000
25015,57,0.006,0.8,205.0,201.0,0.669,358.0,35.77,688.0,Kim et al 2000
25016,57,0.006,0.8,308.0,100.0,0.67,449.0,27.67,355.0,Kim et al 2000
25017,57,0.006,0.8,301.0,151.0,0.745,353.0,49.84,556.0,Kim et al 2000
25018,57,0.006,0.8,306.0,149.0,0.744,447.0,27.92,574.0,Kim et al 2000
25019,57,0.006,0.8,306.0,199.0,0.698,351.0,50.89,695.0,Kim et al 2000
25020,57,0.006,0.8,309.0,198.0,0.721,446.0,28.5,745.0,Kim et al 2000
25021,57,0.006,0.8,308.0,250.0,0.644,349.0,51.6,814.0,Kim et al 2000
25022,57,0.006,0.8,394.0,99.0,0.715,362.0,57.33,352.0,Kim et al 2000
25023,57,0.006,0.8,398.0,100.0,0.679,483.0,28.75,361.0,Kim et al 2000
25024,57,0.006,0.8,400.0,150.0,0.751,357.0,59.08,550.0,Kim et al 2000
25025,57,0.006,0.8,406.0,149.0,0.764,484.0,29.25,592.0,Kim et al 2000
25026,57,0.006,0.8,395.0,198.0,0.709,352.0,59.81,693.0,Kim et al 2000
25027,57,0.006,0.8,409.0,200.0,0.752,484.0,29.52,783.0,Kim et al 2000
25028,57,0.006,0.8,404.0,247.0,0.665,354.0,60.17,822.0,Kim et al 2000
25029,57,0.006,0.8,499.0,99.0,0.74,366.0,65.3,356.0,Kim et al 2000
25030,57,0.006,0.8,502.0,99.0,0.737,529.0,26.54,386.0,Kim et al 2000
25031,57,0.006,0.8,506.0,151.0,0.743,358.0,67.75,543.0,Kim et al 2000
25032,57,0.006,0.8,502.0,151.0,0.779,529.0,26.54,614.0,Kim et al 2000
25033,57,0.006,0.8,507.0,197.0,0.737,354.0,68.78,705.0,Kim et al 2000
25034,57,0.006,0.8,488.0,201.0,0.731,524.0,26.64,777.0,Kim et al 2000
25035,57,0.006,0.8,511.0,249.0,0.691,352.0,69.56,843.0,Kim et al 2000
25036,57,0.006,0.8,602.0,100.0,0.675,376.0,70.34,336.0,Kim et al 2000
25037,57,0.006,0.8,597.0,99.0,0.7,556.0,26.95,373.0,Kim et al 2000
25038,57,0.006,0.8,607.0,149.0,0.764,359.0,74.73,546.0,Kim et al 2000
25039,57,0.006,0.8,597.0,150.0,0.8,554.0,27.43,624.0,Kim et al 2000
25040,57,0.006,0.8,603.0,198.0,0.749,356.0,75.18,714.0,Kim et al 2000
25041,57,0.006,0.8,611.0,248.0,0.719,354.0,76.19,860.0,Kim et al 2000
25042,57,0.006,0.8,703.0,100.0,0.633,372.0,77.67,314.0,Kim et al 2000
25043,57,0.006,0.8,700.0,101.0,0.696,581.0,27.52,381.0,Kim et al 2000
25044,57,0.006,0.8,702.0,148.0,0.771,364.0,79.52,542.0,Kim et al 2000
25045,57,0.006,0.8,711.0,149.0,0.825,579.0,28.65,639.0,Kim et al 2000
25046,57,0.006,0.8,698.0,198.0,0.749,356.0,81.18,707.0,Kim et al 2000
25047,57,0.006,0.8,698.0,204.0,0.68,569.0,30.27,753.0,Kim et al 2000
25048,57,0.006,0.8,700.0,244.0,0.73,355.0,81.54,853.0,Kim et al 2000
25049,57,0.006,0.8,806.0,100.0,0.766,606.0,27.55,405.0,Kim et al 2000
25050,57,0.006,0.8,810.0,152.0,0.806,605.0,28.0,642.0,Kim et al 2000
25051,57,0.006,0.8,827.0,202.0,0.785,606.0,28.67,837.0,Kim et al 2000
