Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
7038,25,0.0141,0.635,8616.0,2703.9,-0.009,259.0,250.32,3738.2,Lee 1966 AEEW R479
7039,25,0.0141,0.635,11029.0,2705.2,-0.004,227.0,278.08,3321.8,Lee 1966 AEEW R479
7040,25,0.0141,0.635,11029.0,2705.2,-0.004,227.0,278.08,3321.8,Lee 1966 AEEW R479
7041,25,0.0141,0.635,11029.0,1617.7,-0.008,356.0,252.05,3119.9,Lee 1966 AEEW R479
7042,25,0.0141,0.635,11029.0,1617.7,-0.008,356.0,252.05,3119.9,Lee 1966 AEEW R479
7043,25,0.0141,0.635,11029.0,2024.5,-0.043,356.0,252.05,3413.3,Lee 1966 AEEW R479
7044,25,0.0141,0.635,11029.0,2024.5,-0.043,356.0,252.05,3403.8,Lee 1966 AEEW R479
7045,25,0.0141,0.635,12407.0,1619.1,-0.014,308.0,273.29,2640.4,Lee 1966 AEEW R479
7046,25,0.0141,0.635,12407.0,1619.1,-0.018,308.0,273.29,2589.9,Lee 1966 AEEW R479
7047,25,0.0141,0.635,12407.0,1617.7,-0.011,308.0,273.29,2656.2,Lee 1966 AEEW R479
7048,25,0.0141,0.635,12407.0,1617.7,-0.011,308.0,273.29,2656.2,Lee 1966 AEEW R479
7049,25,0.0141,0.635,12407.0,1621.8,-0.078,446.0,244.92,3198.8,Lee 1966 AEEW R479
7050,25,0.0141,0.635,12407.0,1621.8,-0.078,446.0,244.92,3198.8,Lee 1966 AEEW R479
7051,25,0.0141,0.635,12407.0,2028.6,-0.024,282.0,278.42,2873.8,Lee 1966 AEEW R479
7052,25,0.0141,0.635,12407.0,2028.6,-0.026,282.0,278.42,2842.3,Lee 1966 AEEW R479
7053,25,0.0141,0.635,12407.0,2024.5,-0.064,367.0,261.39,3315.5,Lee 1966 AEEW R479
7054,25,0.0141,0.635,12407.0,2024.5,-0.064,367.0,261.39,3315.5,Lee 1966 AEEW R479
7055,25,0.0141,0.991,8616.0,1627.2,0.215,79.0,285.97,2195.6,Lee 1966 AEEW R479
7056,25,0.0141,0.991,8616.0,1627.2,0.213,79.0,285.97,2176.7,Lee 1966 AEEW R479
7057,25,0.0141,0.991,8616.0,1625.8,0.212,79.0,285.97,2164.1,Lee 1966 AEEW R479
7058,25,0.0141,0.991,8616.0,1625.8,0.222,79.0,285.97,2252.4,Lee 1966 AEEW R479
7059,25,0.0141,0.991,8616.0,1625.8,0.222,79.0,285.97,2252.4,Lee 1966 AEEW R479
7060,25,0.0141,0.991,8616.0,1620.4,0.169,207.0,261.0,2555.2,Lee 1966 AEEW R479
7061,25,0.0141,0.991,8616.0,1620.4,0.166,207.0,261.0,2526.8,Lee 1966 AEEW R479
7062,25,0.0141,0.991,8719.0,1623.1,0.123,342.0,233.79,2952.7,Lee 1966 AEEW R479
7063,25,0.0141,0.991,8651.0,1623.1,0.122,339.0,233.77,2930.6,Lee 1966 AEEW R479
7064,25,0.0141,0.991,8616.0,2703.9,0.106,88.0,284.29,2283.9,Lee 1966 AEEW R479
7065,25,0.0141,0.991,8616.0,2703.9,0.106,88.0,284.29,2283.9,Lee 1966 AEEW R479
7066,25,0.0141,0.991,8616.0,2701.2,0.073,177.0,267.03,2678.3,Lee 1966 AEEW R479
7067,25,0.0141,0.991,8616.0,2701.2,0.073,177.0,267.03,2678.3,Lee 1966 AEEW R479
7068,25,0.0141,0.991,8685.0,2699.8,0.042,262.0,250.36,3088.4,Lee 1966 AEEW R479
7069,25,0.0141,0.991,8685.0,2699.8,0.042,262.0,250.36,3094.7,Lee 1966 AEEW R479
7070,25,0.0141,0.991,11029.0,542.4,0.509,101.0,301.5,1410.1,Lee 1966 AEEW R479
7071,25,0.0141,0.991,11029.0,542.4,0.52,101.0,301.5,1438.5,Lee 1966 AEEW R479
7072,25,0.0141,0.991,11029.0,542.4,0.458,276.0,268.4,1624.6,Lee 1966 AEEW R479
7073,25,0.0141,0.991,11029.0,542.4,0.466,276.0,268.4,1643.5,Lee 1966 AEEW R479
7074,25,0.0141,0.991,11029.0,542.4,0.416,428.0,236.83,1817.0,Lee 1966 AEEW R479
7075,25,0.0141,0.991,11029.0,542.4,0.418,428.0,236.83,1820.2,Lee 1966 AEEW R479
7076,25,0.0141,0.991,11029.0,1014.3,0.298,95.0,302.55,1687.7,Lee 1966 AEEW R479
7077,25,0.0141,0.991,11029.0,1014.3,0.297,95.0,302.55,1684.6,Lee 1966 AEEW R479
7078,25,0.0141,0.991,11029.0,1018.4,0.252,216.0,280.21,1921.2,Lee 1966 AEEW R479
7079,25,0.0141,0.991,11029.0,1018.4,0.252,216.0,280.21,1921.2,Lee 1966 AEEW R479
7080,25,0.0141,0.991,11029.0,1012.9,0.182,356.0,252.05,2104.1,Lee 1966 AEEW R479
7081,25,0.0141,0.991,11029.0,1012.9,0.182,356.0,252.05,2104.1,Lee 1966 AEEW R479
7082,25,0.0141,0.991,11029.0,1613.6,0.166,101.0,301.5,1744.5,Lee 1966 AEEW R479
7083,25,0.0141,0.991,11029.0,1613.6,0.166,101.0,301.5,1744.5,Lee 1966 AEEW R479
7084,25,0.0141,0.991,11029.0,1627.2,0.16,101.0,301.5,1716.1,Lee 1966 AEEW R479
7085,25,0.0141,0.991,11029.0,1627.2,0.161,101.0,301.5,1719.3,Lee 1966 AEEW R479
7086,25,0.0141,0.991,11029.0,1627.2,0.103,247.0,274.16,2148.3,Lee 1966 AEEW R479
7087,25,0.0141,0.991,11029.0,1627.2,0.107,247.0,274.16,2176.7,Lee 1966 AEEW R479
7088,25,0.0141,0.991,11029.0,1627.2,0.104,247.0,274.16,2151.4,Lee 1966 AEEW R479
7089,25,0.0141,0.991,11029.0,1627.2,0.104,247.0,274.16,2151.4,Lee 1966 AEEW R479
7090,25,0.0141,0.991,11029.0,1627.2,0.057,385.0,245.97,2608.9,Lee 1966 AEEW R479
7091,25,0.0141,0.991,11029.0,1627.2,0.057,385.0,245.97,2608.9,Lee 1966 AEEW R479
7092,25,0.0141,0.991,11029.0,1627.2,0.056,385.0,245.97,2599.4,Lee 1966 AEEW R479
7093,25,0.0141,0.991,11029.0,1627.2,0.056,385.0,245.97,2602.5,Lee 1966 AEEW R479
7094,25,0.0141,0.991,11029.0,2032.6,0.117,95.0,302.55,1747.6,Lee 1966 AEEW R479
7095,25,0.0141,0.991,11029.0,2032.6,0.117,95.0,302.55,1747.6,Lee 1966 AEEW R479
7096,25,0.0141,0.991,11029.0,2034.0,0.122,101.0,301.5,1791.8,Lee 1966 AEEW R479
7097,25,0.0141,0.991,11029.0,2034.0,0.12,101.0,301.5,1779.2,Lee 1966 AEEW R479
7098,25,0.0141,0.991,11029.0,2034.0,0.122,101.0,301.5,1798.1,Lee 1966 AEEW R479
7099,25,0.0141,0.991,11029.0,2034.0,0.122,101.0,301.5,1798.1,Lee 1966 AEEW R479
7100,25,0.0141,0.991,11063.0,2025.9,0.073,216.0,280.49,2220.8,Lee 1966 AEEW R479
7101,25,0.0141,0.991,11097.0,2025.9,0.073,219.0,280.18,2227.1,Lee 1966 AEEW R479
7102,25,0.0141,0.991,11029.0,2005.5,0.072,216.0,280.21,2176.7,Lee 1966 AEEW R479
7103,25,0.0141,0.991,11029.0,2005.5,0.071,216.0,280.21,2170.4,Lee 1966 AEEW R479
7104,25,0.0141,0.991,11029.0,2005.5,0.076,216.0,280.21,2214.5,Lee 1966 AEEW R479
7105,25,0.0141,0.991,11029.0,2005.5,0.076,216.0,280.21,2220.8,Lee 1966 AEEW R479
7106,25,0.0141,0.991,11029.0,2034.0,0.068,247.0,274.16,2369.1,Lee 1966 AEEW R479
7107,25,0.0141,0.991,11029.0,2034.0,0.068,247.0,274.16,2369.1,Lee 1966 AEEW R479
7108,25,0.0141,0.991,11132.0,2034.0,0.067,251.0,274.22,2369.1,Lee 1966 AEEW R479
7109,25,0.0141,0.991,11132.0,2034.0,0.066,251.0,274.22,2362.8,Lee 1966 AEEW R479
7110,25,0.0141,0.991,11029.0,2023.2,0.028,356.0,252.05,2813.9,Lee 1966 AEEW R479
7111,25,0.0141,0.991,11029.0,2023.2,0.028,356.0,252.05,2813.9,Lee 1966 AEEW R479
7112,25,0.0141,0.991,11029.0,2034.0,0.017,385.0,245.97,2899.1,Lee 1966 AEEW R479
7113,25,0.0141,0.991,11029.0,2034.0,0.018,385.0,245.97,2908.5,Lee 1966 AEEW R479
7114,25,0.0141,0.991,11029.0,2034.0,0.017,385.0,245.97,2899.1,Lee 1966 AEEW R479
7115,25,0.0141,0.991,11029.0,2034.0,0.016,385.0,245.97,2889.6,Lee 1966 AEEW R479
7116,25,0.0141,0.991,11029.0,2712.0,0.084,101.0,301.5,1936.9,Lee 1966 AEEW R479
7117,25,0.0141,0.991,11029.0,2712.0,0.084,101.0,301.5,1936.9,Lee 1966 AEEW R479
7118,25,0.0141,0.991,11029.0,2712.0,0.08,101.0,301.5,1895.9,Lee 1966 AEEW R479
7119,25,0.0141,0.991,11029.0,2712.0,0.082,101.0,301.5,1911.7,Lee 1966 AEEW R479
7120,25,0.0141,0.991,11029.0,2712.0,0.054,189.0,285.38,2429.0,Lee 1966 AEEW R479
7121,25,0.0141,0.991,11029.0,2712.0,0.052,189.0,285.38,2407.0,Lee 1966 AEEW R479
7122,25,0.0141,0.991,11029.0,2712.0,0.049,189.0,285.38,2369.1,Lee 1966 AEEW R479
7123,25,0.0141,0.991,11029.0,2712.0,0.049,189.0,285.38,2369.1,Lee 1966 AEEW R479
7124,25,0.0141,0.991,11029.0,2712.0,0.024,276.0,268.4,2899.1,Lee 1966 AEEW R479
7125,25,0.0141,0.991,11029.0,2712.0,0.024,276.0,268.4,2899.1,Lee 1966 AEEW R479
7126,25,0.0141,0.991,11029.0,2712.0,0.021,276.0,268.4,2858.1,Lee 1966 AEEW R479
7127,25,0.0141,0.991,11029.0,2712.0,0.021,276.0,268.4,2858.1,Lee 1966 AEEW R479
7128,25,0.0141,0.991,11029.0,3381.9,0.06,95.0,302.55,2050.5,Lee 1966 AEEW R479
7129,25,0.0141,0.991,11029.0,3381.9,0.064,95.0,302.55,2119.9,Lee 1966 AEEW R479
7130,25,0.0141,0.991,11029.0,3381.9,0.061,95.0,302.55,2069.4,Lee 1966 AEEW R479
