Number,Reference ID,Tube Diameter (m),Heated Length (m),Pressure (kPa),Mass Flux (kg/m^2/s),Outlet Quality,Inlet Subcooling (kJ/kg),Inlet Temperature (degreeC ),CHF (kW/m^2),Reference name
1,1,0.004,0.396,100.0,77.5,0.84,317.0,23.94,442.0,Lowdermilk 1958
2,1,0.004,0.396,100.0,142.7,0.79,317.0,23.94,757.0,Lowdermilk 1958
3,1,0.004,0.396,100.0,203.9,0.7,317.0,23.94,978.0,Lowdermilk 1958
4,1,0.004,0.396,100.0,271.8,0.73,317.0,23.94,1325.0,Lowdermilk 1958
5,1,0.004,0.396,100.0,421.3,0.62,317.0,23.94,1798.0,Lowdermilk 1958
6,1,0.004,0.396,100.0,543.6,0.58,317.0,23.94,2239.0,Lowdermilk 1958
7,1,0.004,0.396,100.0,679.5,0.55,317.0,23.94,2712.0,Lowdermilk 1958
8,1,0.004,0.396,100.0,978.5,0.5,317.0,23.94,3564.0,Lowdermilk 1958
9,1,0.004,0.396,100.0,1372.7,0.45,317.0,23.94,4573.0,Lowdermilk 1958
10,1,0.004,0.396,100.0,1644.5,0.42,317.0,23.94,5236.0,Lowdermilk 1958
11,1,0.004,0.594,100.0,77.5,0.88,324.0,22.27,300.0,Lowdermilk 1958
12,1,0.004,0.594,100.0,135.9,0.81,324.0,22.27,505.0,Lowdermilk 1958
13,1,0.004,0.594,100.0,203.9,0.75,324.0,22.27,694.0,Lowdermilk 1958
14,1,0.004,0.594,100.0,258.2,0.71,331.0,20.6,852.0,Lowdermilk 1958
15,1,0.004,0.594,100.0,407.7,0.63,331.0,20.6,1199.0,Lowdermilk 1958
16,1,0.004,0.594,100.0,543.6,0.6,331.0,20.6,1514.0,Lowdermilk 1958
17,1,0.004,0.594,100.0,693.1,0.58,331.0,20.6,1892.0,Lowdermilk 1958
18,1,0.004,0.594,100.0,992.1,0.56,331.0,20.6,2618.0,Lowdermilk 1958
19,1,0.004,0.792,100.0,78.8,0.74,331.0,20.6,196.0,Lowdermilk 1958
20,1,0.004,0.792,100.0,135.9,0.76,331.0,20.6,347.0,Lowdermilk 1958
21,1,0.004,0.792,100.0,217.5,0.72,331.0,20.6,536.0,Lowdermilk 1958
22,1,0.004,0.792,100.0,244.6,0.75,331.0,20.6,631.0,Lowdermilk 1958
23,1,0.004,0.792,100.0,407.7,0.64,329.0,21.08,915.0,Lowdermilk 1958
24,1,0.004,0.792,100.0,543.6,0.6,329.0,21.08,1135.0,Lowdermilk 1958
25,1,0.004,0.792,100.0,706.7,0.58,329.0,21.08,1451.0,Lowdermilk 1958
26,1,0.004,0.792,100.0,720.3,0.59,324.0,22.27,1482.0,Lowdermilk 1958
27,1,0.004,0.792,100.0,203.9,0.75,324.0,22.27,505.0,Lowdermilk 1958
28,1,0.004,0.991,100.0,78.8,0.95,329.0,21.08,196.0,Lowdermilk 1958
29,1,0.004,0.991,100.0,135.9,0.89,329.0,21.08,315.0,Lowdermilk 1958
